date,opérateur,secteur_d'activité,région,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,consommation_journalière_(mwh_-_pcs_0°c),statut,movement_social
2018-11-15,GRTgaz,GRD/ELD,Hauts-de-France,6880.095246,6528.268021,6144.566962,5664.628031,4918.453621,4395.030464,4266.490537,4279.116554,4390.468604,4533.417532,4939.456881,6111.698273,8240.958654,8290.536484,7768.24534,7251.573113,6996.23103,7001.817276,6694.593526,6445.448801,6321.526906,6378.954872,6741.885649,6930.526476,148113.988853,Définitif,False
2018-11-15,GRTgaz,GRD/ELD,Bretagne,2110.896535,2059.767997,1990.815709,1870.148193,1721.481878,1594.060362,1572.734999,1558.736707,1574.415052,1627.553883,1740.111252,2039.685117,2722.542402,2810.8388,2696.26068,2554.029722,2450.02585,2370.913343,2191.167608,2121.721745,2048.25825,1913.272717,1936.700019,2039.311112,49315.449932,Définitif,False
2018-11-17,GRTgaz,GRD/ELD,Centre-Val de Loire,2282.107402,2278.606575,2231.383763,2202.3322,2075.710309,1924.644254,1898.421268,1935.291554,2007.143836,2073.493165,2199.282002,2429.778232,2354.717394,2379.996744,2436.105238,2439.136635,2397.467744,2364.863435,2284.439556,2140.345876,2062.811052,2052.980156,2158.093871,2248.32838,52857.480641,Définitif,False
2018-11-17,GRTgaz,GRD/ELD,Grand Est,6524.794048,6443.147601,6301.118125,6102.402435,5460.846282,5047.194942,5016.79569,5122.599962,5238.81856,5409.557158,5713.756771,6473.422754,7803.767325,7814.03825,7774.494379,7371.517038,6882.596213,6468.399199,6018.304117,5615.152681,5439.034547,5549.546154,5995.559877,6464.507308,148051.371416,Définitif,False
2018-11-17,GRTgaz,GRD/ELD,Provence-Alpes-Côte d'Azur,2361.237249,2390.441883,2327.5072,2204.652624,1987.611119,1778.571306,1748.763151,1771.266993,1811.160586,1859.414963,1980.545648,2231.050493,2164.780198,2148.099034,2197.020741,2223.986347,2187.381984,2185.625397,2148.174493,2077.739885,2016.940684,2014.938904,2113.333418,2238.042596,50168.286896,Définitif,False
2018-11-18,GRTgaz,GRD/ELD,Auvergne-Rhône-Alpes,6741.536992,6697.848635,6476.480122,6185.705608,5478.494884,5029.639648,5052.468614,5122.869259,5259.76533,5528.240217,6166.568983,7457.696082,6847.465941,6872.015806,6916.027351,6789.212135,6571.256841,6346.371799,5936.648621,5548.459774,5329.603623,5397.032588,5880.88158,6421.548104,146053.838537,Définitif,False
2018-11-18,GRTgaz,GRD/ELD,Provence-Alpes-Côte d'Azur,2712.989094,2711.17929,2678.522967,2549.721322,2294.5119,2108.243648,2125.855444,2164.106307,2216.312499,2334.410566,2481.30999,2901.671677,2608.275956,2651.539964,2723.395667,2585.408648,2414.283042,2273.156131,2176.783905,2013.387908,1918.351989,1948.100023,2148.699356,2459.243025,57199.460318,Définitif,False
2018-11-19,GRTgaz,GRD/ELD,Bretagne,3336.400774,3207.780131,3084.50908,2919.998374,2647.653356,2414.594152,2453.004398,2482.968465,2524.383294,2626.476695,2843.3231,3271.290959,3680.002955,3924.990973,3857.181529,3653.507414,3395.730426,3251.566433,2991.879079,2916.682452,2853.695018,2863.086507,3043.486151,3295.453211,73539.644926,Définitif,False
2018-11-20,GRTgaz,GRD/ELD,Bourgogne-Franche-Comté,3699.428888,3603.386094,3475.082245,3344.626283,3014.618286,2809.496,2805.598792,2861.577461,2928.004986,3038.912869,3251.430485,3735.522685,4458.86535,4526.825031,4421.480774,4301.299438,4186.817775,4144.523272,3912.277577,3797.134451,3745.879402,3704.715669,3787.180225,3790.699269,87345.383307,Définitif,False
2018-11-21,GRTgaz,GRD/ELD,Île-de-France,16176.056536,16186.259328,15735.36722,14974.412497,13400.598987,12106.512241,11753.386815,11850.125987,12096.350245,12511.195079,13259.780244,14834.930166,18933.572114,19692.956363,19399.858468,18595.062292,17564.116669,16712.019872,15700.125359,14828.406889,14233.682192,14331.593951,15126.902652,15960.724669,365963.996835,Définitif,False
