Unnamed: 0;TempMax_Deg;TempMin_Deg;Wind_kmh;Wet_percent;Visibility_km;CloudCoverage_percent;Dayduration_hour;region;day
alsace_2018/01/01;9.0;6.0;25;74;8.25;70.0;8:23:0;alsace;2018/01/01
aquitaine_2018/01/01;12.0;10.0;37;76;9.375;59.0;8:52:0;aquitaine;2018/01/01
ardeche_2018/01/01;8.0;5.0;17;89;10.0;51.0;8:53:0;ardeche;2018/01/01
auvergne_2018/01/01;6.0;4.0;39;85;9.625;60.0;8:45:0;auvergne;2018/01/01
bourgogne_2018/01/01;8.0;5.0;38;86;9.625;76.0;8:33:0;bourgogne;2018/01/01
bretagne_2018/01/01;11.0;7.0;47;78;9.75;42.0;8:27:0;bretagne;2018/01/01
centre_2018/01/01;9.0;8.0;35;85;9.0;53.0;8:28:0;centre;2018/01/01
champagne-ardenne_2018/01/01;8.0;6.0;33;86;9.0;68.0;8:17:0;champagne-ardenne;2018/01/01
corse_2018/01/01;11.0;9.0;43;72;8.875;48.0;9:12:0;corse;2018/01/01
franche-comte_2018/01/01;7.0;5.0;33;88;8.5;83.0;8:34:0;franche-comte;2018/01/01
ile-de-re_2018/01/01;12.0;10.0;64;79;9.5;51.0;8:42:0;ile-de-re;2018/01/01
ile-de-france_2018/01/01;9.0;7.0;33;83;9.875;56.0;8:20:0;ile-de-france;2018/01/01
languedoc-roussillon_2018/01/01;12.0;11.0;32;69;10.0;26.0;9:0:0;languedoc-roussillon;2018/01/01
limousin_2018/01/01;8.0;5.0;35;94;7.375;71.0;8:45:0;limousin;2018/01/01
lorraine_2018/01/01;8.0;6.0;38;83;9.5;91.0;8:18:0;lorraine;2018/01/01
midi-pyrenees_2018/01/01;12.0;8.0;32;77;9.75;52.0;9:1:0;midi-pyrenees;2018/01/01
nord-pas-de-calais_2018/01/01;8.0;6.0;31;92;9.625;74.0;8:7:0;nord-pas-de-calais;2018/01/01
normandie_2018/01/01;9.0;7.0;45;90;8.875;63.0;8:18:0;normandie;2018/01/01
pays-de-la-loire_2018/01/01;12.0;10.0;61;79;9.5;42.0;8:34:0;pays-de-la-loire;2018/01/01
picardie_2018/01/01;7.0;6.0;32;90;9.625;65.0;8:11:0;picardie;2018/01/01
poitou-charentes_2018/01/01;12.0;11.0;64;79;9.5;51.0;8:43:0;poitou-charentes;2018/01/01
rh-ne-alpes_2018/01/01;8.0;6.0;28;81;8.5;67.0;8:45:0;rh-ne-alpes;2018/01/01
provence-alpes-c-te-d-azur_2018/01/01;11.0;10.0;36;62;10.0;31.0;9:3:0;provence-alpes-c-te-d-azur;2018/01/01
alsace_2018/01/02;7.0;6.0;21;78;9.875;79.0;8:24:0;alsace;2018/01/02
aquitaine_2018/01/02;14.0;11.0;23;95;7.625;96.0;8:53:0;aquitaine;2018/01/02
ardeche_2018/01/02;6.0;4.0;6;86;9.0;61.0;8:54:0;ardeche;2018/01/02
auvergne_2018/01/02;9.0;4.0;16;90;9.0;76.0;8:46:0;auvergne;2018/01/02
bourgogne_2018/01/02;6.0;5.0;20;89;9.0;87.0;8:34:0;bourgogne;2018/01/02
bretagne_2018/01/02;13.0;8.0;23;96;8.0;83.0;8:28:0;bretagne;2018/01/02
centre_2018/01/02;12.0;5.0;20;93;8.0;78.0;8:29:0;centre;2018/01/02
champagne-ardenne_2018/01/02;9.0;4.0;20;93;9.0;74.0;8:18:0;champagne-ardenne;2018/01/02
corse_2018/01/02;11.0;10.0;22;66;10.0;15.0;9:12:0;corse;2018/01/02
franche-comte_2018/01/02;5.0;4.0;20;93;10.0;98.0;8:35:0;franche-comte;2018/01/02
ile-de-re_2018/01/02;13.0;10.0;30;95;9.875;96.0;8:43:0;ile-de-re;2018/01/02
ile-de-france_2018/01/02;11.0;5.0;22;89;9.875;72.0;8:22:0;ile-de-france;2018/01/02
