date_de_debut;date_de_fin;motif;organisations_syndicales;metiers_cibles;population;nombre_grevistes;taux_grevistes;date_debut
2018-04-03;;Reforme de la SNCF;CGT,UNSA,SUD Rail,CFDT,FO;;;;34.0;2018-04-03
2018-04-13;;Reforme de la SNCF;CGT,UNSA,SUD Rail,CFDT,FO;;;;22.5;2018-04-13
2018-04-19;;Reforme de la SNCF;CGT,UNSA,SUD Rail,CFDT,FO;;;;22.7;2018-04-19
2018-06-07;;Reforme de la SNCF;CGT,UNSA,SUD Rail,CFDT,FO;;;;14.3;2018-06-07
2018-06-23;;Reforme de la SNCF;CGT,UNSA,SUD Rail,CFDT,FO;;;;20.7;2018-06-23
2018-06-27;;Reforme de la SNCF;CGT,UNSA,SUD Rail,CFDT,FO;;;;8.4;2018-06-27
2018-06-28;;Reforme de la SNCF;CGT,UNSA,SUD Rail,CFDT,FO;;;;10.3;2018-06-28
2018-07-06;;Reforme de la SNCF;CGT,SUD Rail;;;;6.5;2018-07-06
2019-12-10;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT,FO;;;;24.6;2019-12-10
2019-12-18;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT,FO;;;;13.6;2019-12-18
2019-12-26;;Réforme des retraites;CGT,SUD Rail,CFDT,FO,UNSA;;;;9.6;2019-12-26
2019-12-30;;Réforme des retraites;CGT,SUD Rail,CFDT,FO,UNSA;;;;7.1;2019-12-30
2019-12-31;;Réforme des retraites;CGT,SUD Rail,CFDT,FO,UNSA;;;;7.7;2019-12-31
2020-01-02;;Réforme des retraites;CGT,SUD Rail,CFDT,FO,UNSA;;;;6.9;2020-01-02
2020-01-10;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT,FO;;;;10.2;2020-01-10
2020-01-20;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT,FO;;;;2.3;2020-01-20
2020-01-21;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT,FO;;;;2.0;2020-01-21
2020-01-29;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT,FO;;;;5.7;2020-01-29
2022-03-08;;Journée internationale du droit des femmes;SUD Rail;;;;0.4;2022-03-08
2022-11-10;;Salaires, emploi, retraite;CGT;;;;8.6;2022-11-10
2023-02-07;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;;;;26.1;2023-02-07
2023-02-16;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;;;;14.5;2023-02-16
2023-03-13;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;;;;5.5;2023-03-13
2023-03-16;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;;;;6.7;2023-03-16
2023-03-20;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;;;;3.8;2023-03-20
2023-03-23;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;;;;27.0;2023-03-23
2023-03-26;;Réforme des retraites;CGT,UNSA,SUD Rail,CFDT;;;;6.3;2023-03-26
