iter	Passed	Remaining
0	61	92846
1	72	54135
2	80	40219
3	86	32511
4	92	27712
5	103	25724
6	110	23624
7	120	22510
8	128	21351
9	138	20695
10	150	20421
11	157	19491
12	167	19205
13	176	18697
14	182	18114
15	188	17465
16	200	17474
17	207	17046
18	220	17163
19	228	16914
20	241	17015
21	254	17119
22	269	17330
23	278	17132
24	290	17157
25	299	16988
26	305	16649
27	315	16581
28	323	16398
29	334	16377
30	341	16174
31	348	15966
32	359	16003
33	368	15902
34	381	15988
35	393	15989
36	402	15895
37	414	15952
38	423	15853
39	431	15754
40	444	15811
41	449	15616
42	462	15674
43	474	15685
44	481	15566
45	495	15658
46	502	15539
47	514	15563
48	527	15631
49	535	15528
50	545	15498
51	557	15536
52	563	15397
53	576	15431
54	581	15284
55	593	15315
56	603	15286
57	612	15224
58	623	15222
59	633	15196
60	644	15193
61	653	15149
62	661	15084
63	673	15121
64	679	15005
65	692	15039
66	697	14926
67	709	14947
68	720	14942
69	728	14877
70	740	14902
71	746	14808
72	758	14823
73	769	14826
74	776	14754
75	787	14750
76	794	14679
77	807	14713
78	813	14625
79	824	14640
80	832	14584
81	842	14570
82	852	14561
83	859	14495
84	869	14477
85	877	14435
86	889	14441
87	894	14350
88	906	14367
89	915	14350
90	924	14308
91	933	14292
92	941	14245
93	953	14268
94	959	14190
95	972	14216
96	979	14171
97	989	14153
98	999	14144
99	1007	14107
100	1020	14132
101	1026	14070
102	1039	14097
103	1051	14119
104	1057	14049
105	1070	14077
106	1081	14078
107	1088	14026
108	1098	14015
109	1106	13979
110	1119	14007
111	1130	14009
112	1137	13965
113	1148	13961
114	1155	13918
115	1169	13952
116	1179	13943
117	1185	13879
118	1192	13834
119	1202	13831
120	1213	13827
121	1220	13784
122	1231	13789
123	1238	13741
124	1249	13747
125	1256	13702
126	1267	13702
127	1274	13664
128	1280	13608
129	1287	13571
130	1301	13602
131	1309	13573
132	1322	13595
133	1336	13627
134	1349	13648
135	1356	13602
136	1361	13549
137	1371	13532
138	1379	13508
139	1391	13522
140	1398	13483
141	1410	13485
142	1415	13431
143	1422	13395
144	1432	13382
145	1439	13353
146	1451	13357
147	1457	13316
148	1463	13266
149	1468	13216
150	1480	13225
151	1486	13184
152	1498	13192
153	1504	13147
154	1519	13182
155	1527	13156
156	1533	13120
157	1539	13075
158	1544	13029
159	1553	13012
160	1562	12991
161	1571	12978
162	1578	12949
163	1590	12957
164	1602	12967
165	1608	12927
166	1616	12900
167	1621	12857
168	1627	12818
169	1637	12812
170	1645	12785
171	1655	12778
172	1662	12750
173	1672	12744
174	1681	12733
175	1690	12718
176	1710	12785
177	1727	12832
178	1735	12804
179	1741	12771
180	1751	12762
181	1759	12739
182	1768	12729
183	1776	12705
184	1787	12706
185	1798	12702
186	1805	12675
187	1816	12677
188	1822	12638
189	1828	12609
190	1834	12575
191	1840	12536
192	1851	12535
193	1856	12500
194	1869	12508
195	1876	12485
196	1886	12475
197	1892	12446
198	1904	12447
199	1909	12413
200	1921	12417
201	1927	12388
202	1938	12385
203	1945	12360
204	1951	12325
205	1956	12290
206	1963	12264
207	1972	12254
208	1980	12231
209	1990	12224
210	2000	12221
211	2008	12201
212	2019	12204
213	2027	12182
214	2037	12174
215	2045	12156
216	2053	12143
217	2061	12121
218	2066	12089
219	2072	12055
220	2082	12054
221	2088	12021
