iter	RMSE
0	55030.08317
1	54820.00112
2	54609.0659
3	54404.04717
4	54203.71908
5	54003.85567
6	53807.64027
7	53611.235
8	53422.33154
9	53235.23178
10	53050.06508
11	52868.71579
12	52693.13093
13	52517.45334
14	52346.57759
15	52176.43003
16	52010.39325
17	51851.97124
18	51688.17068
19	51531.1121
20	51375.28857
21	51218.44158
22	51068.204
23	50919.08405
24	50771.02892
25	50629.66032
26	50488.86091
27	50349.77428
28	50212.63152
29	50076.61657
30	49944.33805
31	49814.64994
32	49688.67032
33	49559.6139
34	49437.1311
35	49321.42289
36	49202.62528
37	49084.20421
38	48968.61286
39	48857.03103
40	48739.64829
41	48626.45954
42	48517.48562
43	48409.11796
44	48306.33297
45	48201.84327
46	48099.70025
47	48000.1368
48	47900.82095
49	47805.15227
50	47707.16376
51	47613.21123
52	47523.79784
53	47430.74279
54	47338.8128
55	47250.16596
56	47163.79496
57	47079.14163
58	46996.56563
59	46913.52078
60	46830.61371
61	46751.0942
62	46674.21019
63	46600.40042
64	46527.143
65	46453.57348
66	46381.18192
67	46307.59823
68	46238.50517
69	46169.25084
70	46102.33617
71	46033.5428
72	45969.46378
73	45904.81959
74	45839.59731
75	45777.76565
76	45716.48954
77	45655.84139
78	45595.80517
79	45536.27211
80	45477.73702
81	45420.31788
82	45364.97975
83	45309.03998
84	45255.69018
85	45203.24512
86	45151.40806
87	45100.18025
88	45048.49041
89	45000.6217
90	44950.59658
91	44904.59979
92	44856.09493
93	44809.3782
94	44763.44645
95	44719.50286
96	44676.98013
97	44633.28094
98	44590.58109
99	44550.8078
100	44508.56061
101	44469.70687
102	44430.47497
103	44390.24156
104	44351.32702
105	44312.86326
106	44277.61128
107	44241.85861
108	44205.71376
109	44170.99699
110	44137.86414
111	44104.60722
112	44069.48626
113	44036.03353
114	44001.29306
115	43970.12477
116	43938.8844
117	43907.01068
118	43877.84067
119	43848.01345
120	43818.39442
121	43789.35873
122	43762.4021
123	43735.5721
124	43707.98394
125	43680.24669
126	43655.29086
127	43628.11567
128	43600.9162
129	43575.09125
130	43547.24853
131	43521.97743
132	43497.93282
133	43475.89861
134	43454.12637
135	43429.05035
136	43407.17023
137	43387.19021
138	43365.66788
139	43343.96956
140	43324.10839
141	43304.1752
142	43284.40288
143	43264.04425
144	43243.4763
145	43223.09687
146	43206.32826
147	43188.75415
148	43170.90281
149	43151.05217
150	43130.84192
151	43111.19601
152	43091.07682
153	43072.17958
154	43053.79193
155	43038.58891
156	43020.46183
157	43004.69784
158	42987.78339
159	42972.93043
160	42955.7584
161	42942.0893
162	42926.02241
163	42911.10506
164	42898.17904
165	42884.81933
166	42868.30534
167	42852.98872
168	42840.1208
169	42825.33761
170	42812.34392
171	42797.41134
172	42783.54125
173	42770.76759
174	42758.91578
175	42747.76
176	42737.10999
177	42723.77327
178	42712.26137
179	42696.47807
180	42686.90114
181	42674.41431
182	42663.83607
183	42652.98912
184	42642.42709
185	42632.9244
186	42622.9493
187	42612.18219
188	42603.54691
189	42591.96744
190	42579.02264
191	42570.96573
192	42561.03847
193	42548.81654
194	42540.42355
195	42530.41576
196	42522.10676
197	42509.31834
198	42499.74021
199	42489.44652
200	42481.47111
201	42475.03795
202	42468.56265
203	42461.928
204	42454.3929
205	42446.99214
206	42440.35527
207	42432.58329
208	42424.47478
209	42415.80903
210	42408.74603
211	42403.56019
212	42396.02446
213	42390.216
214	42382.48
215	42375.98234
216	42368.45619
217	42361.35159
218	42352.56563
219	42345.14184
220	42340.57312
221	42334.01772
222	42327.35863
223	42320.32827
224	42314.0472
225	42307.65893
226	42299.90331
227	42295.20868
228	42287.53732
229	42281.92988
230	42275.4298
231	42270.93684
232	42265.59339
233	42257.44619
234	42250.56161
235	42244.6475
236	42239.78122
237	42234.13815
238	42229.10217
239	42224.45273
240	42219.33187
241	42211.57221
242	42204.50134
243	42199.98767
244	42195.87013
245	42191.71667
246	42185.27451
247	42177.24561
248	42173.93766
249	42169.12071
250	42165.27084
251	42160.22912
252	42153.91105
253	42149.84702
254	42141.87817
255	42137.65979
256	42133.13435
257	42129.9271
258	42123.56457
259	42120.65628
260	42114.80749
261	42110.92257
262	42107.80447
263	42101.4393
264	42095.75513
265	42091.64697
266	42086.87508
267	42083.18288
268	42079.26071
269	42073.57783
270	42070.11487
271	42066.1482
272	42060.14699
273	42054.06716
274	42051.38942
275	42047.8235
276	42042.17594
277	42038.95217
278	42037.2127
279	42033.48087
280	42029.53795
281	42026.10307
282	42019.28073
283	42016.71994
284	42012.9653
285	42009.43283
286	42006.68049
287	42002.84361
288	41999.15155
289	41995.33812
290	41991.8034
291	41987.74637
292	41984.75019
293	41980.25725
294	41976.18416
295	41974.28075
296	41972.62868
297	41968.61834
298	41963.82487
299	41960.52636
300	41956.16808
301	41953.7406
302	41951.74589
303	41947.99272
304	41944.18608
305	41941.46611
306	41939.91938
307	41938.10471
308	41935.10582
309	41933.32525
310	41928.28802
311	41924.75062
312	41921.27319
313	41917.1532
314	41915.33754
315	41909.22774
316	41904.55561
317	41903.63072
318	41899.82478
319	41896.6264
320	41895.16677
321	41890.27169
322	41885.39956
323	41882.43215
324	41878.47937
325	41876.65938
326	41875.84569
327	41872.44103
328	41870.91423
329	41866.19069
330	41864.50479
331	41861.22903
332	41857.77213
333	41855.85128
334	41851.74334
335	41848.73756
336	41847.76353
337	41845.05896
338	41842.69458
339	41841.38698
340	41840.33039
341	41838.23861
342	41835.53266
343	41833.34173
344	41830.18876
345	41828.10022
346	41824.62166
347	41820.54412
348	41817.92524
349	41813.8188
350	41813.04761
351	41810.57024
352	41809.06401
353	41807.48279
354	41803.79493
355	41800.15199
356	41798.30914
357	41797.20085
358	41794.52015
359	41792.48993
360	41788.32674
361	41785.98498
362	41783.2339
363	41782.54727
364	41780.48266
365	41779.45186
366	41776.38405
367	41774.10011
368	41771.23198
369	41768.12191
370	41764.98744
371	41762.82864
372	41761.15729
373	41758.96283
374	41755.21641
375	41754.08991
376	41752.19447
377	41750.44065
378	41747.90691
379	41747.03501
380	41744.98036
381	41743.27248
382	41740.54073
383	41738.62137
384	41736.0808
385	41733.1819
386	41731.5402
387	41728.89424
388	41726.28294
389	41724.35413
390	41721.84989
391	41719.25735
392	41715.47685
393	41713.7768
394	41711.96486
395	41709.35536
396	41708.67509
397	41707.66294
398	41705.72887
399	41702.02725
400	41698.56959
401	41696.17729
402	41692.98044
403	41691.17697
404	41689.44149
405	41687.2487
406	41686.10783
407	41684.15719
408	41682.48266
409	41680.63449
410	41678.28287
411	41674.27152
412	41671.31036
413	41669.59287
414	41667.85575
415	41662.8606
416	41659.86985
417	41658.41602
418	41657.38925
419	41656.34176
420	41654.75338
421	41651.63323
422	41649.0516
423	41647.16761
424	41646.87882
425	41643.49543
426	41642.22275
427	41639.26045
428	41636.26367
429	41633.37742
430	41632.29872
431	41630.5722
432	41629.4302
433	41627.71152
434	41626.29933
435	41623.9601
436	41623.10774
437	41622.76961
438	41620.26303
439	41617.57204
440	41614.75457
441	41611.68601
442	41610.932
443	41609.32441
444	41606.633
445	41605.08909
446	41604.73566
447	41601.91773
448	41600.03429
449	41597.18563
450	41595.21058
451	41593.19641
452	41591.91513
453	41589.99653
454	41588.56034
455	41586.31336
456	41584.30271
457	41583.33784
458	41581.01965
459	41579.70541
460	41578.70999
461	41576.43826
462	41574.32772
463	41573.38268
464	41571.56893
465	41571.03727
466	41570.24146
467	41568.1478
468	41566.46512
469	41564.9889
470	41563.08886
471	41561.05604
472	41559.30568
473	41558.26199
474	41556.62476
475	41555.58959
476	41553.87374
477	41552.75117
478	41549.99008
479	41547.84872
480	41545.79872
481	41544.80371
482	41542.52371
483	41540.21547
484	41538.06204
485	41535.62288
486	41534.16859
487	41532.51079
488	41531.02104
489	41529.28866
490	41526.59057
491	41524.0235
492	41522.75625
