iter	Passed	Remaining
0	62	93220
1	78	58799
2	95	47807
3	108	40450
4	120	35960
5	133	33354
6	169	36230
7	201	37512
8	212	35160
9	229	34218
10	241	32626
11	256	31745
12	265	30398
13	277	29424
14	285	28303
15	297	27587
16	309	26957
17	321	26442
18	331	25832
19	339	25146
20	347	24446
21	358	24109
22	372	23891
23	382	23508
24	392	23154
25	401	22784
26	411	22440
27	421	22174
28	428	21750
29	437	21420
30	446	21141
31	454	20832
32	464	20651
33	476	20564
34	488	20441
35	498	20286
36	510	20190
37	520	20042
38	529	19821
39	549	20066
40	572	20377
41	593	20615
42	604	20478
43	615	20372
44	635	20552
45	653	20649
46	675	20895
47	696	21055
48	716	21209
49	725	21030
50	738	20968
51	748	20839
52	759	20743
53	772	20672
54	781	20532
55	789	20361
56	799	20228
57	812	20208
58	833	20361
59	845	20281
60	857	20224
61	868	20135
62	877	20010
63	887	19917
64	897	19806
65	907	19710
66	919	19674
67	933	19650
68	943	19570
69	954	19503
70	966	19452
71	975	19337
72	982	19214
73	992	19122
74	1001	19032
75	1013	18984
76	1022	18903
77	1034	18857
78	1042	18760
79	1053	18704
80	1065	18657
81	1072	18550
82	1083	18503
83	1093	18431
84	1103	18370
85	1111	18270
86	1128	18326
87	1151	18481
88	1174	18623
89	1191	18666
90	1202	18624
91	1213	18567
92	1225	18543
93	1236	18493
94	1251	18509
95	1260	18440
96	1269	18363
97	1278	18294
98	1288	18241
99	1299	18188
100	1307	18112
101	1320	18094
102	1328	18020
103	1339	17978
104	1348	17916
105	1356	17836
106	1363	17749
107	1374	17710
108	1381	17635
109	1392	17602
110	1403	17564
111	1417	17561
112	1427	17518
113	1438	17483
114	1446	17417
115	1454	17355
116	1464	17316
117	1479	17324
118	1490	17301
119	1500	17253
120	1510	17211
121	1518	17153
122	1529	17120
123	1538	17072
124	1551	17070
125	1561	17023
126	1573	17015
127	1587	17011
128	1596	16968
129	1604	16910
130	1611	16844
131	1619	16783
132	1629	16749
133	1638	16703
134	1646	16647
135	1655	16604
136	1664	16564
137	1682	16605
138	1696	16612
139	1708	16595
140	1725	16634
141	1750	16745
142	1763	16733
143	1788	16843
144	1827	17075
145	1862	17276
146	1888	17381
147	1917	17515
148	1941	17602
149	1969	17722
150	1992	17804
151	2025	17958
152	2045	18011
153	2060	18009
154	2075	18013
155	2091	18022
156	2104	17998
157	2117	17989
158	2129	17960
159	2140	17929
160	2153	17908
161	2163	17872
162	2176	17851
163	2184	17791
164	2193	17751
165	2205	17723
166	2220	17721
167	2229	17674
168	2237	17624
169	2248	17590
170	2266	17616
171	2279	17602
172	2293	17594
173	2306	17574
174	2314	17524
175	2322	17474
176	2333	17438
177	2344	17413
178	2353	17368
179	2363	17333
180	2375	17307
181	2388	17296
182	2399	17267
183	2407	17218
184	2419	17199
185	2429	17164
186	2439	17128
187	2451	17111
188	2461	17071
189	2473	17055
190	2484	17026
191	2493	16986
192	2503	16954
193	2511	16908
194	2524	16896
195	2536	16872
196	2545	16838
197	2559	16828
198	2568	16789
199	2581	16780
200	2591	16750
201	2608	16759
202	2618	16731
203	2628	16696
204	2636	16657
205	2652	16658
206	2664	16646
207	2679	16645
208	2696	16655
209	2710	16652
210	2720	16620
211	2731	16597
212	2741	16562
213	2751	16534
214	2762	16510
215	2774	16492
216	2784	16464
217	2797	16448
218	2807	16419
219	2818	16397
220	2827	16363
221	2837	16335
222	2847	16307
223	2856	16274
224	2865	16237
225	2873	16198
226	2882	16166
227	2890	16126
228	2898	16085
229	2907	16054
230	2916	16022
231	2923	15976
232	2931	15939
233	2941	15911
234	2949	15877
235	2956	15837
236	2965	15802
237	2973	15764
238	2982	15735
239	2990	15702
240	2999	15671
241	3011	15653
242	3024	15645
243	3033	15616
244	3039	15571
245	3049	15546
246	3061	15529
247	3070	15502
248	3079	15469
249	3094	15470
250	3108	15468
251	3121	15456
252	3133	15446
253	3155	15477
254	3169	15473
255	3186	15485
256	3207	15514
257	3222	15510
258	3236	15509
259	3250	15500
260	3266	15504
261	3276	15482
262	3285	15451
263	3298	15441
264	3321	15480
265	3343	15509
266	3357	15505
267	3377	15525
268	3390	15514
269	3403	15504
270	3419	15507
271	3437	15520
272	3451	15512
273	3460	15483
274	3470	15460
275	3484	15451
276	3494	15427
277	3506	15411
278	3516	15388
279	3524	15358
280	3537	15347
281	3546	15318
282	3555	15291
283	3571	15290
284	3584	15282
285	3598	15274
286	3613	15271
287	3630	15278
288	3646	15280
289	3659	15268
290	3672	15258
291	3692	15273
292	3707	15274
293	3725	15282
294	3736	15262
295	3750	15254
296	3755	15210
297	3765	15186
298	3773	15158
299	3781	15127
300	3790	15099
301	3798	15069
302	3808	15045
303	3818	15021
304	3827	14995
305	3838	14975
306	3849	14959
307	3868	14971
308	3887	14983
309	3901	14976
310	3916	14971
311	3926	14949
312	3935	14926
313	3946	14907
314	3958	14889
315	3970	14875
316	3979	14851
317	3989	14829
318	4003	14822
319	4014	14804
320	4028	14794
321	4039	14779
322	4050	14760
323	4058	14729
324	4069	14711
325	4077	14682
326	4085	14656
327	4095	14633
328	4103	14607
329	4112	14582
330	4122	14558
331	4131	14533
332	4140	14509
333	4154	14502
334	4170	14502
335	4181	14486
336	4189	14458
337	4197	14429
338	4209	14416
339	4219	14395
340	4225	14362
341	4235	14342
342	4243	14315
343	4257	14307
344	4268	14288
345	4278	14269
346	4286	14241
347	4295	14219
348	4303	14192
349	4312	14171
350	4318	14137
351	4327	14113
352	4339	14100
353	4352	14091
354	4361	14067
355	4368	14039
356	4377	14014
357	4384	13986
358	4394	13965
359	4401	13937
360	4409	13912
361	4421	13898
362	4430	13877
363	4443	13867
364	4452	13846
365	4471	13853
366	4484	13844
367	4500	13844
368	4514	13837
369	4539	13863
370	4554	13859
371	4567	13848
372	4580	13841
373	4590	13819
374	4608	13824
375	4621	13815
376	4632	13798
377	4641	13776
378	4652	13760
379	4667	13756
380	4689	13773
381	4712	13793
382	4722	13772
383	4731	13752
384	4745	13742
385	4757	13731
386	4772	13725
387	4788	13723
388	4800	13710
389	4810	13690
390	4822	13677
391	4835	13666
392	4845	13647
393	4857	13634
394	4868	13619
395	4879	13603
396	4891	13589
397	4911	13598
398	4924	13587
399	4931	13561
400	4939	13537
401	4947	13512
402	4955	13488
403	4963	13465
404	4972	13445
405	4986	13436
406	4994	13411
407	5002	13388
408	5012	13370
409	5024	13358
410	5036	13345
411	5049	13333
412	5058	13313
413	5066	13290
414	5077	13273
415	5089	13261
416	5101	13248
417	5116	13243
418	5134	13246
419	5153	13251
420	5161	13229
421	5172	13212
422	5179	13188
423	5190	13172
424	5194	13137
425	5203	13117
426	5214	13103
427	5226	13091
428	5244	13093
429	5257	13083
430	5268	13068
431	5286	13068
432	5298	13056
433	5309	13040
434	5317	13018
435	5339	13029
436	5351	13016
437	5363	13004
438	5380	13004
439	5393	12994
440	5406	12983
441	5421	12977
442	5432	12961
443	5443	12947
444	5452	12926
445	5463	12912
446	5474	12896
447	5487	12885
448	5502	12879
449	5521	12884
450	5536	12876
451	5548	12865
452	5560	12851
453	5572	12838
454	5586	12831
455	5595	12811
456	5606	12794
457	5616	12777
458	5624	12756
459	5634	12737
460	5647	12729
461	5661	12719
462	5671	12701
463	5681	12685
464	5698	12683
465	5714	12680
466	5727	12668
467	5738	12653
468	5752	12645
469	5761	12626
470	5771	12609
471	5781	12592
472	5792	12577
473	5801	12558
474	5811	12539
475	5824	12530
476	5834	12513
477	5846	12499
478	5856	12482
479	5868	12470
480	5880	12457
481	5899	12458
482	5913	12451
483	5926	12441
484	5939	12429
485	5948	12411
486	5960	12398
487	5976	12393
488	5989	12383
489	6014	12397
490	6030	12393
491	6046	12388
492	6063	12385
493	6074	12369
494	6088	12360
495	6098	12345
496	6112	12334
497	6121	12316
498	6135	12307
499	6145	12291
500	6154	12271
501	6162	12250
502	6173	12236
503	6181	12216
504	6192	12201
505	6202	12184
506	6213	12170
507	6221	12149
508	6231	12133
509	6241	12115
510	6248	12094
511	6256	12073
512	6265	12055
513	6273	12035
514	6282	12016
515	6290	11996
516	6298	11975
517	6306	11955
518	6314	11936
519	6323	11917
520	6331	11897
521	6339	11877
522	6348	11860
523	6357	11841
524	6366	11822
525	6374	11804
526	6383	11785
527	6391	11766
528	6402	11751
529	6416	11744
530	6427	11730
531	6437	11713
532	6445	11694
533	6453	11673
534	6461	11654
535	6470	11636
536	6476	11614
537	6488	11602
538	6496	11583
539	6506	11567
540	6514	11548
541	6523	11529
542	6537	11522
543	6554	11519
544	6565	11505
545	6573	11485
546	6581	11466
547	6590	11449
548	6601	11434
549	6609	11416
550	6619	11400
551	6630	11387
552	6640	11371
553	6648	11353
554	6656	11334
555	6664	11315
556	6676	11302
557	6685	11286
558	6696	11273
559	6709	11262
560	6726	11258
561	6735	11241
562	6753	11240
563	6767	11231
564	6779	11219
565	6792	11208
566	6804	11197
567	6829	11205
568	6847	11204
569	6867	11205
570	6884	11200
571	6898	11191
572	6915	11187
573	6926	11173
574	6938	11162
575	6949	11147
576	6969	11148
577	6979	11133
578	6991	11121
579	7003	11108
580	7017	11099
581	7053	11125
582	7076	11130
583	7093	11126
584	7110	11122
585	7126	11116
