iter	RMSE
0	55036.49695
1	54824.04703
2	54618.99324
3	54416.17174
4	54218.94324
5	54026.23587
6	53827.79842
7	53637.64098
8	53453.02261
9	53267.93742
10	53086.59022
11	52908.87397
12	52731.97456
13	52559.5406
14	52387.77442
15	52218.2193
16	52055.71037
17	51892.34731
18	51730.60446
19	51573.11413
20	51422.56631
21	51270.0674
22	51115.6531
23	50966.87648
24	50821.19514
25	50676.57394
26	50534.10357
27	50394.35526
28	50255.47374
29	50119.49878
30	49987.08368
31	49857.35354
32	49726.04376
33	49599.5059
34	49473.23367
35	49354.36787
36	49234.4264
37	49113.88132
38	48994.07248
39	48878.84979
40	48764.97254
41	48653.56707
42	48546.82124
43	48438.99861
44	48333.88467
45	48229.57151
46	48126.6057
47	48024.22562
48	47924.85035
49	47827.78963
50	47731.01919
51	47636.59247
52	47545.93746
53	47456.15098
54	47368.55176
55	47279.66996
56	47194.6015
57	47110.75884
58	47029.39237
59	46947.5855
60	46865.62431
61	46788.0726
62	46711.11063
63	46632.98315
64	46557.02222
65	46481.50444
66	46410.62383
67	46335.62287
68	46264.70256
69	46196.79018
70	46128.72545
71	46063.18531
72	45999.91416
73	45937.3003
74	45875.41596
75	45812.45985
76	45749.84059
77	45688.5781
78	45628.89251
79	45571.31571
80	45511.65798
81	45456.98472
82	45398.44448
83	45341.08094
84	45285.15708
85	45231.04843
86	45177.78285
87	45127.44732
88	45076.75363
89	45027.2984
90	44980.45694
91	44929.79243
92	44881.33969
93	44835.31226
94	44788.94008
95	44742.28827
96	44698.20338
97	44654.92424
98	44613.24309
99	44570.90272
100	44531.55258
101	44490.08884
102	44449.06697
103	44410.92894
104	44371.25536
105	44332.62293
106	44296.00388
107	44262.24216
108	44227.53971
109	44189.85349
110	44153.2082
111	44119.70412
112	44085.65765
113	44051.6355
114	44018.7947
115	43985.30127
116	43952.54972
117	43919.1585
118	43888.67306
119	43857.56392
120	43828.79299
121	43798.97578
122	43770.55199
123	43740.39102
124	43709.92472
125	43682.60496
126	43655.96904
127	43630.53889
128	43604.43217
129	43578.55332
130	43552.1766
131	43529.13384
132	43503.82989
133	43478.76255
134	43455.66336
135	43432.28541
136	43407.40218
137	43381.09037
138	43358.02068
139	43333.83433
140	43310.52669
141	43288.34707
142	43268.23013
143	43248.35354
144	43228.0508
145	43209.07515
146	43187.75976
147	43168.07178
148	43147.04236
149	43127.51086
150	43110.16573
151	43088.15555
152	43072.02821
153	43054.81841
154	43035.35801
