iter	Passed	Remaining
0	55	27486
1	58	14688
2	64	10675
3	69	8585
4	73	7285
5	77	6371
6	82	5844
7	89	5475
8	93	5093
9	98	4838
10	104	4663
11	109	4442
12	113	4260
13	118	4126
14	121	3938
15	125	3788
16	128	3650
17	132	3540
18	136	3452
19	139	3344
20	142	3244
21	146	3186
22	149	3106
23	153	3035
24	156	2972
25	159	2905
26	163	2862
27	167	2815
28	170	2765
29	174	2734
30	178	2699
31	182	2667
32	185	2628
33	188	2585
34	192	2557
35	196	2533
36	199	2500
37	202	2464
38	205	2430
39	209	2405
40	213	2387
41	217	2370
42	221	2356
43	225	2337
44	229	2319
45	233	2305
46	236	2283
47	241	2270
48	245	2260
49	248	2236
50	251	2217
51	254	2195
52	258	2183
53	262	2170
54	265	2151
55	269	2137
56	273	2128
57	277	2115
58	280	2098
59	283	2080
60	286	2064
61	291	2060
62	296	2054
63	299	2041
64	302	2025
65	306	2016
66	311	2015
67	321	2044
68	327	2044
69	330	2032
70	334	2020
71	339	2019
72	343	2011
73	347	2000
74	350	1988
75	355	1980
76	360	1980
77	364	1970
78	368	1961
79	376	1975
80	380	1970
81	388	1978
82	394	1984
83	400	1985
84	408	1993
85	413	1989
86	418	1984
87	422	1979
88	426	1969
89	429	1955
90	432	1943
91	436	1937
92	440	1927
93	444	1918
94	447	1906
95	451	1900
96	454	1890
97	457	1878
98	461	1868
99	465	1862
100	469	1856
101	472	1845
102	475	1834
103	478	1823
104	483	1817
105	486	1808
106	489	1799
107	492	1787
108	495	1777
109	500	1773
110	503	1764
111	506	1756
112	509	1746
113	515	1746
114	518	1736
115	521	1726
116	525	1720
117	528	1711
118	533	1707
119	536	1698
120	539	1689
121	544	1687
122	550	1687
123	555	1683
124	558	1676
125	563	1672
126	566	1663
127	569	1655
128	573	1649
129	576	1641
130	580	1635
131	583	1627
132	587	1620
133	591	1615
134	595	1610
135	599	1604
136	602	1596
137	605	1588
138	609	1582
139	615	1583
140	619	1576
141	622	1568
142	625	1561
143	630	1557
144	633	1549
145	636	1542
146	639	1535
147	644	1531
148	647	1525
149	650	1517
150	653	1509
151	656	1503
152	660	1496
153	663	1490
154	666	1482
155	669	1475
156	673	1471
157	677	1467
158	680	1460
159	683	1453
160	686	1446
161	691	1442
162	694	1436
163	698	1430
164	701	1424
165	705	1419
166	709	1415
167	712	1408
168	715	1401
169	718	1395
170	722	1390
171	726	1385
172	730	1379
173	733	1373
174	737	1369
175	741	1365
176	745	1359
177	748	1353
178	751	1346
179	755	1343
180	759	1338
181	762	1332
182	767	1329
183	771	1325
184	776	1321
185	779	1316
186	782	1310
187	787	1307
188	791	1302
189	794	1296
190	798	1291
191	803	1289
192	808	1285
193	811	1279
194	816	1276
195	823	1277
196	826	1271
197	830	1266
198	837	1266
199	840	1261
200	844	1256
201	847	1250
202	854	1250
203	858	1245
204	862	1241
205	867	1238
206	875	1239
207	879	1234
208	884	1231
209	889	1228
210	894	1224
211	898	1220
212	908	1223
213	914	1222
214	927	1228
215	937	1233
216	941	1227
217	946	1224
218	951	1221
219	956	1216
220	960	1212
221	963	1206
222	968	1202
223	973	1198
224	977	1194
225	981	1189
226	989	1190
227	995	1188
228	1002	1186
229	1006	1181
230	1010	1176
231	1013	1171
232	1020	1169
233	1023	1163
234	1026	1157
235	1032	1155
236	1036	1149
237	1040	1145
238	1045	1142
239	1050	1137
240	1053	1132
241	1056	1126
242	1060	1121
243	1065	1117
244	1068	1112
245	1071	1106
246	1074	1100
247	1079	1096
248	1082	1091
249	1085	1085
250	1088	1079
251	1091	1073
252	1097	1071
253	1103	1068
254	1106	1063
255	1111	1059
256	1115	1054
257	1118	1049
258	1122	1044
259	1125	1039
260	1130	1035
261	1133	1029
262	1136	1024
263	1140	1019
264	1144	1015
265	1148	1010
266	1151	1004
267	1154	999
268	1159	995
269	1163	991
270	1167	986
271	1170	980
272	1174	976
273	1178	971
274	1181	966
275	1184	961
276	1188	956
277	1192	952
278	1195	947
279	1199	942
280	1202	937
281	1209	934
282	1211	929
283	1214	923
284	1217	918
285	1222	914
286	1225	909
287	1229	904
288	1231	899
289	1235	894
290	1242	892
291	1247	888
292	1250	883
293	1257	881
294	1261	876
295	1266	872
296	1271	868
297	1275	864
298	1278	859
299	1282	855
300	1287	851
301	1293	847
302	1296	842
303	1299	838
304	1304	834
305	1309	830
306	1312	825
307	1316	820
308	1321	816
309	1324	811
310	1327	806
311	1330	801
312	1334	797
313	1338	792
314	1342	788
315	1345	783
316	1348	778
317	1352	774
318	1356	769
319	1358	764
320	1361	759
321	1365	754
322	1369	750
323	1372	745
324	1376	740
325	1378	735
326	1382	731
327	1386	727
328	1389	722
329	1393	717
330	1396	713
331	1401	709
332	1404	704
333	1407	699
334	1410	694
335	1414	690
336	1418	685
337	1421	681
338	1424	676
339	1427	671
340	1431	667
341	1434	662
342	1438	658
343	1441	653
344	1445	649
345	1449	644
346	1451	640
347	1455	635
348	1458	630
349	1462	626
350	1467	622
351	1469	618
352	1472	613
353	1476	608
354	1480	604
355	1483	600
356	1486	595
357	1489	590
358	1493	586
359	1497	582
360	1501	578
361	1504	573
362	1507	568
363	1510	564
364	1515	560
365	1518	555
366	1521	551
367	1524	546
368	1528	542
369	1531	538
370	1534	533
371	1538	529
372	1541	524
373	1545	520
374	1548	516
375	1552	511
376	1555	507
377	1559	503
378	1563	499
379	1566	494
380	1569	490
381	1573	486
382	1578	482
383	1583	478
384	1586	473
385	1589	469
386	1596	466
387	1600	461
388	1603	457
389	1608	453
390	1612	449
391	1616	445
392	1619	441
393	1624	437
394	1629	433
395	1632	428
396	1636	424
397	1640	420
398	1645	416
399	1648	412
400	1652	407
401	1656	403
402	1659	399
403	1662	395
404	1665	390
405	1668	386
406	1672	382
407	1676	377
408	1679	373
409	1682	369
410	1686	365
411	1690	361
412	1694	356
413	1697	352
414	1700	348
415	1705	344
416	1708	340
417	1711	335
418	1714	331
419	1720	327
420	1723	323
421	1726	319
422	1729	314
423	1732	310
424	1737	306
425	1741	302
426	1744	298
427	1748	294
428	1752	290
429	1756	285
430	1759	281
431	1762	277
432	1765	273
433	1770	269
434	1773	265
435	1777	260
436	1780	256
437	1784	252
438	1788	248
439	1791	244
440	1795	240
441	1799	236
442	1805	232
443	1808	228
444	1813	224
445	1816	219
446	1821	215
447	1825	211
448	1827	207
449	1831	203
450	1836	199
451	1840	195
452	1843	191
453	1847	187
454	1851	183
455	1854	178
456	1857	174
457	1860	170
458	1863	166
459	1867	162
460	1870	158
461	1875	154
462	1881	150
463	1886	146
464	1891	142
465	1900	138
466	1903	134
467	1908	130
468	1915	126
469	1918	122
470	1921	118
471	1925	114
472	1929	110
473	1933	106
474	1935	101
475	1938	97
476	1942	93
477	1946	89
478	1949	85
479	1953	81
480	1956	77
481	1961	73
482	1965	69
483	1970	65
484	1976	61
485	1981	57
486	1985	53
487	1990	48
488	1995	44
489	2000	40
490	2014	36
491	2024	32
492	2029	28
493	2033	24
494	2038	20
495	2043	16
496	2048	12
497	2054	8
498	2059	4
499	2064	0
